ID,MW
14086,308.183155
14091,308.219655
14153,292.1883159
14200,310.073325
14223,310.287005
14244,309.6659899
14277,294.2043359
14278,294.2191059
14322,312.135725
14328,312.190995
14340,312.265945
14367,311.6923599
14386,313.094745
14393,296.1469259
14401,296.2347559
14509,315.081895
14523,315.204275
14585,299.2093959
14638,317.219955
14644,295.3108307
14645,317.292805
14646,317.292835
14686,318.167255
14687,318.167375
14700,318.276755
14760,302.1725959
14768,302.2817859
14770,319.308365
14886,321.214895
14934,322.198995
14994,301.2273307
15003,301.2985007
15004,323.282215
15123,324.2021199
15127,325.246085
15194,326.245045
15196,326.257095
15243,305.1707507
15253,327.225235
15262,327.313375
15375,329.158345
15438,330.204025
15445,330.276695
15498,331.199055
15668,317.2198059
15669,334.246385
15736,335.303305
15850,320.1833359
15902,338.150165
16022,323.1477559
16023,340.188285
16025,318.2169607
16031,340.235975
16041,323.2819059
16098,341.231125
16099,341.231315
16100,341.231405
16103,341.256125
16145,342.115925
16147,342.146565
16153,342.240465
16189,343.141805
16204,343.308425
16262,344.255635
16327,345.287675
16330,345.324175
16376,346.235065
16392,329.6637159
16441,347.308915
16501,348.250905
16555,349.155475
16568,327.3008207
16666,351.225355
16763,353.064415
16768,353.121445
16777,336.1780859
16834,353.1695899
16846,354.276725
16888,333.1598907
16961,356.292285
17029,356.6889099
17061,358.160445
17077,358.308185
17079,358.319535
17108,337.1911407
17155,360.214155
17209,339.3003907
17212,361.319235
17307,363.225175
17452,366.181655
17462,366.261525
17509,367.256825
17551,368.117445
17603,347.1690407
17612,352.2094959
17618,352.2611559
17620,369.323845
17651,370.104935
17676,353.2810859
17677,371.32736
17678,370.326285
17710,371.128435
17716,354.1524559
17725,354.2767559
17729,371.323935
17778,350.2227507
17833,356.2921959
17920,353.0640307
17939,358.2715059
17943,358.3080959
18037,360.1779959
18133,379.183945
18196,358.3079907
18202,380.340195
18338,383.217085
18437,368.1172959
18496,386.197895
18509,386.302965
18551,387.246635
18555,370.2717459
18605,366.2497307
18606,388.231795
18646,372.1262659
18703,368.2559007
18751,391.256395
18824,392.750015
18848,376.1732959
18941,395.251815
18948,378.2766659
18996,396.213705
19009,396.371415
19040,375.1797607
19049,397.267625
19052,397.303915
19094,397.2307799
19095,398.243275
19149,399.246875
19195,400.209185
19354,402.2244299
19356,403.256825
19453,383.2076507
19471,405.408125
19507,406.184645
19517,406.271445
19518,389.2462359
19520,406.292655
19561,390.1887659
19568,385.3187007
19573,407.360615
19753,409.7117999
19769,411.163805
19784,394.2568259
19826,390.2252907
19837,412.316025
19876,396.2005459
19877,413.240955
19878,413.262135
19883,413.298755
19912,397.1295959
19922,413.2257699
19963,415.183485
19964,415.204665
20042,416.361135
20087,400.2460559
20167,402.1063459
20181,402.2766959
20184,419.324325
20225,420.173235
20238,419.2616599
20243,398.3507507
20277,421.232075
20279,404.2405859
20281,421.282365
20290,421.376205
20324,400.2459507
20370,423.192185
20384,406.2929559
20396,422.8035899
20585,427.277635
20641,406.2929807
20662,428.737715
20790,431.288535
20834,432.324905
20879,432.3067399
20939,433.2967899
21001,434.7202499
21019,436.146835
21072,437.227005
21079,415.3083607
21140,438.601395
21167,439.242845
21176,438.3239499
21220,418.2927307
21265,441.293845
21301,420.1731307
21356,443.301015
21381,442.8191899
21405,444.245865
21458,445.266955
21508,446.251205
21517,445.3144899
21547,425.1950107
21552,430.2197159
21601,448.283675
21602,447.2877299
21660,449.407645
21748,451.306175
21805,452.335985
21807,451.3323999
21828,430.8321007
21847,452.2687399
21914,454.328935
21916,454.338155
21964,455.309255
21999,456.175405
22049,457.252065
22060,457.324965
22064,440.3497159
22105,458.256095
22146,442.2010359
22155,459.303485
22248,461.290245
22254,460.3378699
22338,441.2586707
22341,446.2514859
22345,463.306235
22346,462.3009999
22393,464.256305
22448,465.308915
22451,465.321735
22539,467.218675
22545,467.309315
22547,467.345995
22567,467.951955
22629,447.2811707
22633,469.290245
22637,469.324725
22644,469.362595
22694,469.2880899
22746,471.268145
22748,471.304335
22750,471.340805
22803,472.311545
22824,472.727195
22831,471.8404599
22902,473.3457399
22943,475.350545
22982,459.2828559
22983,476.311145
23036,476.3331699
23139,479.337385
23143,462.3918959
23179,479.2655699
23221,459.2830307
23225,481.316915
23406,485.259575
23410,485.287825
23412,485.320085
23414,485.356155
